x, y
0.624574, 0.218869
0.931181, 0.235626
0.082243, 0.480169
0.956626, 0.010757
0.181132, 0.178479
0.113436, 0.340252
0.923273, 0.661632
0.516248, 0.866486
0.703278, 0.346803
0.762200, 0.268319
0.318309, 0.809802
0.658126, 0.912023
0.473167, 0.266133
0.151620, 0.590664
0.735587, 0.579754
0.426941, 0.360161
0.798624, 0.358122
0.595787, 0.880867
0.838291, 0.552412
0.891623, 0.019423
0.730891, 0.005059
0.359675, 0.654164
0.666691, 0.875923
0.520650, 0.369969
0.222727, 0.282850
0.638288, 0.541036
0.092652, 0.296414
0.453059, 0.565819
0.562547, 0.604679
0.156483, 0.298134
0.184434, 0.583424
0.658294, 0.983058
0.941545, 0.254081
0.863924, 0.779836
0.806493, 0.755547
0.799260, 0.537384
0.760606, 0.158935
0.191548, 0.427297
0.034858, 0.712198
0.797266, 0.257584
0.995049, 0.435553
0.798620, 0.087701
0.731967, 0.251680
0.653519, 0.294514
0.856359, 0.810002
0.592648, 0.040793
0.393426, 0.250942
0.023851, 0.334971
0.505023, 0.887775
0.114808, 0.311516
