BARRIDO Clang-13, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1, 24.90, 1.10, 2.1209462, 0.083
2, 24.95, 1.20, 2.1155865, 0.096
3, 25.15, 1.08, 2.1212960, 0.085
4, 24.68, 0.99, 2.1335053, 0.079
5, 25.11, 1.11, 2.1299431, 0.087
6, 16.56, 0.62, 3.1865597, 0.113
7, 13.78, 0.25, 3.8341646, 0.061
8, 14.19, 0.26, 3.7733172, 0.068
9, 13.83, 0.20, 3.8153643, 0.048
10, 14.14, 0.25, 3.7816508, 0.069
11, 16.35, 0.23, 3.2239320, 0.043
12, 13.80, 0.26, 3.8282241, 0.065
13, 14.19, 0.25, 3.7742558, 0.064
14, 13.78, 0.25, 3.8230990, 0.066
15, 14.19, 0.23, 3.7734182, 0.059
16, 16.64, 0.35, 3.2114221, 0.063
17, 14.22, 0.27, 3.7630184, 0.070
18, 14.21, 0.28, 3.7656784, 0.072
19, 14.44, 0.62, 3.7140767, 0.139
20, 14.21, 0.23, 3.7650908, 0.060
