BARRIDO GCC-11, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1, 24.30, 0.48, 2.166, 0.042
2, 24.23, 0.46, 2.146, 0.040
3, 24.63, 0.47, 2.192, 0.044
4, 24.24, 0.43, 2.172, 0.040
5, 24.25, 0.42, 2.146, 0.038
6, 24.61, 0.45, 2.169, 0.039
7, 24.68, 0.63, 2.190, 0.052
8, 24.26, 0.46, 2.145, 0.039
9, 24.68, 0.58, 2.190, 0.049
10, 16.31, 0.44, 3.230, 0.083
11, 13.66, 0.28, 3.815, 0.080
12, 14.07, 0.33, 3.848, 0.094
13, 13.69, 0.22, 3.850, 0.055
14, 13.66, 0.28, 3.819, 0.078
15, 14.04, 0.22, 3.811, 0.065
16, 14.01, 0.19, 3.866, 0.055
17, 13.71, 0.33, 3.804, 0.076
18, 14.01, 0.23, 3.863, 0.064
19, 16.19, 0.17, 3.254, 0.030
20, 13.64, 0.15, 3.829, 0.035
21, 13.99, 0.12, 3.877, 0.026
22, 13.66, 0.14, 3.858, 0.038
23, 13.62, 0.15, 3.827, 0.046
24, 14.03, 0.19, 3.814, 0.053
25, 14.01, 0.16, 3.864, 0.046
26, 13.72, 0.24, 3.802, 0.057
27, 14.11, 0.27, 3.805, 0.052
28, 16.56, 0.30, 3.230, 0.052
29, 14.10, 0.25, 3.799, 0.068
30, 14.05, 0.27, 3.809, 0.077
31, 14.10, 0.23, 3.793, 0.063
32, 14.09, 0.28, 3.801, 0.072
33, 14.14, 0.28, 3.789, 0.072
34, 14.12, 0.33, 3.793, 0.085
35, 14.11, 0.32, 3.792, 0.086
36, 14.17, 0.30, 3.820, 0.084
