NMAX, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1500, 0.84, 0.02, 0.185, 0.004
2000, 2.18, 0.05, 0.402, 0.010
2500, 3.91, 0.10, 0.623, 0.015
3000, 6.06, 0.11, 0.852, 0.014
3500, 8.65, 0.17, 1.073, 0.020
4000, 11.32, 0.18, 1.287, 0.020
4500, 14.45, 0.23, 1.494, 0.022
5000, 18.04, 0.27, 1.684, 0.026
5500, 21.70, 0.25, 1.855, 0.024
6000, 25.63, 0.20, 2.004, 0.017
6500, 29.77, 0.28, 2.157, 0.017
7000, 33.86, 0.35, 2.326, 0.025
7500, 37.96, 0.32, 2.485, 0.022
8000, 42.25, 0.43, 2.624, 0.025
8500, 46.95, 0.44, 2.767, 0.023
9000, 50.79, 0.58, 2.912, 0.035
9500, 55.33, 0.68, 3.044, 0.039
10000, 59.48, 0.87, 3.171, 0.046
11000, 68.10, 3.31, 3.392, 0.154
12000, 76.75, 4.30, 3.615, 0.182
13000, 86.68, 4.09, 3.727, 0.158
14000, 94.78, 5.63, 3.859, 0.224
15000, 100.99, 5.87, 4.007, 0.221
16000, 106.88, 5.71, 4.116, 0.222
17000, 112.14, 6.06, 4.216, 0.217
18000, 116.62, 6.72, 4.265, 0.248
19000, 118.17, 5.64, 4.373, 0.203
20000, 120.55, 6.06, 4.458, 0.212
24000, 130.98, 5.12, 4.509, 0.180
28000, 136.65, 7.67, 4.492, 0.243
32000, 137.80, 6.49, 4.522, 0.204
36000, 136.90, 5.65, 4.595, 0.180
40000, 136.47, 3.28, 4.660, 0.072
