NMAX, WALL TIME MEAN SoA [s], WALL TIME SD SoA [s], PFLOPS MEAN SoA, PFLOPS SD SoA, WALL TIME MEAN AoS [s], WALL TIME SD AoS [s], PFLOPS MEAN AoS, PFLOPS SD AoS
1500, 1.01, 0.02, 0.152, 0.003, 0.837, 0.019, 0.185, 0.004
2000, 2.70, 0.15, 0.325, 0.016, 2.185, 0.055, 0.402, 0.010
2500, 4.88, 0.31, 0.498, 0.030, 3.905, 0.098, 0.623, 0.015
3000, 7.49, 0.48, 0.689, 0.040, 6.060, 0.112, 0.852, 0.014
3500, 10.70, 0.65, 0.869, 0.049, 8.653, 0.171, 1.073, 0.020
4000, 14.02, 0.87, 1.040, 0.059, 11.316, 0.185, 1.287, 0.020
4500, 17.88, 1.01, 1.209, 0.063, 14.455, 0.230, 1.494, 0.022
5000, 21.86, 0.46, 1.382, 0.026, 18.041, 0.267, 1.684, 0.026
5500, 26.56, 1.09, 1.504, 0.055, 21.700, 0.248, 1.855, 0.024
6000, 31.28, 1.41, 1.623, 0.066, 25.630, 0.203, 2.004, 0.017
6500, 35.76, 1.82, 1.771, 0.080, 29.773, 0.277, 2.157, 0.017
7000, 39.97, 1.40, 1.933, 0.055, 33.861, 0.354, 2.326, 0.025
7500, 44.44, 1.99, 2.086, 0.084, 37.964, 0.318, 2.485, 0.022
8000, 49.72, 1.25, 2.202, 0.042, 42.251, 0.435, 2.624, 0.025
8500, 54.18, 1.43, 2.346, 0.057, 46.950, 0.442, 2.767, 0.023
9000, 58.63, 1.27, 2.472, 0.045, 50.794, 0.580, 2.912, 0.035
9500, 64.04, 0.96, 2.579, 0.032, 55.328, 0.676, 3.044, 0.039
10000, 68.76, 1.24, 2.691, 0.045, 59.484, 0.869, 3.171, 0.046
