ACELERACIÓN, OMP nT 28, OMP nT 28, OMP nT 21, OMP nT 21, OMP nT 14, OMP nT 14, OMP nT 7, OMP nT 7, OMP nT 1, OMP nT 1
1500, 9.1, 0.7, 9.1, 0.4, 7.5, 0.4, 4.6, 0.3, 0.9, 0.2
2000, 10.8, 0.4, 9.9, 0.5, 8.1, 0.4, 4.8, 0.4, 0.9, 0.3
2500, 11.8, 0.5, 10.9, 0.5, 8.4, 0.4, 5.0, 0.4, 0.9, 0.3
3000, 12.5, 0.4, 11.4, 0.5, 8.6, 0.4, 5.0, 0.3, 0.9, 0.3
3500, 13.1, 0.3, 12.1, 0.4, 8.9, 0.4, 5.1, 0.3, 0.9, 0.3
4000, 13.3, 0.6, 12.4, 0.4, 9.1, 0.3, 5.2, 0.4, 0.9, 0.2
4500, 14.2, 0.4, 13.0, 0.4, 9.2, 0.3, 5.3, 0.4, 0.9, 0.2
5000, 14.7, 0.4, 13.4, 0.4, 9.5, 0.3, 5.4, 0.3, 0.9, 0.2
5500, 15.3, 0.4, 13.6, 0.2, 9.6, 0.2, 5.4, 0.4, 0.9, 0.2
6000, 15.6, 0.3, 13.8, 0.4, 9.8, 0.2, 5.5, 0.2, 0.9, 0.1
6500, 15.9, 0.3, 14.0, 0.1, 9.9, 0.2, 5.5, 0.2, 0.9, 0.2
7000, 16.0, 0.3, 14.2, 0.2, 10.0, 0.2, 5.6, 0.3, 0.9, 0.2
7500, 16.1, 0.3, 14.2, 0.2, 10.0, 0.2, 5.5, 0.3, 0.9, 0.1
8000, 16.4, 0.3, 14.3, 0.3, 10.2, 0.2, 5.6, 0.4, 0.9, 0.2
8500, 16.7, 0.4, 14.5, 0.2, 10.3, 0.2, 5.6, 0.4, 0.9, 0.2
9000, 16.6, 0.3, 14.4, 0.2, 10.2, 0.2, 5.6, 0.4, 0.9, 0.2
9500, 16.8, 0.4, 14.5, 0.3, 10.2, 0.2, 5.6, 0.4, 0.9, 0.2
10000, 16.9, 0.5, 14.5, 0.3, 10.3, 0.3, 5.6, 0.5, 0.9, 0.3
