EFICIENCIA, OMP nT 28, OMP nT 28, OMP nT 21, OMP nT 21, OMP nT 14, OMP nT 14, OMP nT 7, OMP nT 7, OMP nT 1, OMP nT 1
1500, 0.32, 0.03, 0.43, 0.02, 0.53, 0.03, 0.66, 0.04, 0.9, 0.2
2000, 0.39, 0.01, 0.47, 0.03, 0.58, 0.03, 0.69, 0.05, 0.9, 0.3
2500, 0.42, 0.02, 0.52, 0.03, 0.60, 0.03, 0.71, 0.06, 0.9, 0.3
3000, 0.45, 0.01, 0.55, 0.02, 0.62, 0.03, 0.72, 0.05, 0.9, 0.3
3500, 0.47, 0.01, 0.57, 0.02, 0.63, 0.03, 0.73, 0.05, 0.9, 0.3
4000, 0.48, 0.02, 0.59, 0.02, 0.65, 0.02, 0.74, 0.05, 0.9, 0.2
4500, 0.51, 0.01, 0.62, 0.02, 0.66, 0.02, 0.76, 0.06, 0.9, 0.2
5000, 0.53, 0.02, 0.64, 0.02, 0.68, 0.02, 0.77, 0.05, 0.9, 0.2
5500, 0.55, 0.02, 0.65, 0.01, 0.69, 0.02, 0.78, 0.05, 0.9, 0.2
6000, 0.56, 0.01, 0.66, 0.02, 0.70, 0.01, 0.78, 0.03, 0.9, 0.1
6500, 0.57, 0.01, 0.66, 0.01, 0.71, 0.01, 0.79, 0.03, 0.9, 0.2
7000, 0.57, 0.01, 0.67, 0.01, 0.71, 0.02, 0.80, 0.05, 0.9, 0.2
7500, 0.57, 0.01, 0.67, 0.01, 0.72, 0.01, 0.79, 0.05, 0.9, 0.1
8000, 0.59, 0.01, 0.68, 0.01, 0.73, 0.02, 0.80, 0.06, 0.9, 0.2
8500, 0.59, 0.01, 0.69, 0.01, 0.73, 0.01, 0.80, 0.06, 0.9, 0.2
9000, 0.59, 0.01, 0.69, 0.01, 0.73, 0.02, 0.80, 0.05, 0.9, 0.2
9500, 0.60, 0.02, 0.69, 0.02, 0.73, 0.02, 0.80, 0.06, 0.9, 0.2
10000, 0.60, 0.02, 0.69, 0.02, 0.73, 0.02, 0.80, 0.07, 0.9, 0.3
