PFLOPS, OMP nT 28, OMP nT 28, OMP nT 21, OMP nT 21, OMP nT 14, OMP nT 14, OMP nT 7, OMP nT 7, OMP nT 1, OMP nT 1, AoS, AoS
1500, 38.29896, 1.55720, 44.70505, 0.91085, 49.00469, 1.17473, 53.17541, 0.42730, 64.90893, 0.04753, 0.18506, 0.00397
2000, 92.20891, 2.61180, 102.61271, 2.56431, 108.69627, 1.48151, 118.00478, 1.20884, 141.95269, 0.24038, 0.40224, 0.01005
2500, 154.46758, 4.05400, 165.74382, 4.83291, 179.33435, 1.40236, 184.26173, 2.12523, 219.55840, 0.31279, 0.62289, 0.01536
3000, 216.72754, 2.81057, 229.28522, 3.67526, 241.53942, 3.50702, 256.57882, 1.38084, 299.36174, 0.51876, 0.85187, 0.01379
3500, 280.60329, 2.43624, 298.57496, 3.98912, 309.10487, 2.56028, 320.60244, 1.88163, 378.91494, 0.12219, 1.07347, 0.01992
4000, 336.20704, 9.13062, 356.23370, 6.76878, 369.67177, 1.77447, 388.58491, 4.45147, 451.73541, 0.23920, 1.28697, 0.01995
4500, 390.80005, 4.40079, 410.71402, 7.48018, 431.95154, 3.73426, 447.49467, 6.91616, 524.75560, 0.10917, 1.49449, 0.02192
5000, 448.64332, 5.44548, 464.62864, 4.30517, 490.53375, 3.12145, 503.06111, 4.02939, 593.36226, 0.53985, 1.68421, 0.02625
5500, 493.39858, 4.24039, 520.94073, 8.06765, 544.59900, 2.96005, 556.57526, 7.05791, 655.88733, 0.54024, 1.85474, 0.02385
6000, 546.26434, 7.53653, 570.47004, 2.56760, 600.52461, 3.45327, 604.69279, 2.91274, 715.46815, 0.77112, 2.00360, 0.01692
6500, 596.69205, 6.55915, 625.82358, 2.65295, 646.83262, 1.34082, 658.86182, 4.21062, 772.93577, 1.41891, 2.15728, 0.01743
7000, 643.77791, 5.17720, 672.99094, 6.73440, 695.80519, 1.85532, 711.52153, 5.78977, 829.23169, 1.14379, 2.32568, 0.02474
7500, 697.39526, 6.65394, 718.35629, 6.71775, 747.15529, 3.57299, 762.04369, 12.34027, 883.41949, 0.25295, 2.48543, 0.02211
8000, 732.47225, 9.24208, 763.44371, 5.79212, 788.23677, 5.04347, 811.80105, 13.74045, 934.43219, 0.78499, 2.62435, 0.02487
8500, 772.12762, 10.67446, 801.64835, 9.67918, 831.05918, 3.00615, 850.86907, 14.21322, 984.69196, 1.87435, 2.76654, 0.02268
9000, 817.63416, 7.87907, 844.48245, 6.22545, 870.00558, 3.47533, 895.46285, 9.75435, 1028.13766, 0.31023, 2.91236, 0.03471
9500, 849.10262, 6.75837, 881.40002, 9.09021, 903.06814, 4.24427, 928.77948, 16.49731, 1072.56348, 0.27994, 3.04396, 0.03867
10000, 885.96954, 7.76208, 917.03167, 7.91505, 942.59036, 3.66661, 961.62770, 15.66796, 1113.72745, 0.95342, 3.17091, 0.04553
