WALL [min], OMP nT 28, OMP nT 28, OMP nT 21, OMP nT 21, OMP nT 14, OMP nT 14, OMP nT 7, OMP nT 7, OMP nT 1, OMP nT 1, AoS, AoS
1500, 0.09253, 0.00531, 0.09189, 0.00192, 0.11214, 0.00240, 0.18193, 0.00153, 0.90169, 0.00071, 0.83744, 0.01890
2000, 0.20178, 0.00247, 0.21969, 0.00625, 0.26941, 0.00381, 0.45500, 0.00417, 2.33793, 0.00297, 2.18456, 0.05478
2500, 0.33099, 0.00681, 0.35862, 0.00844, 0.46668, 0.00308, 0.78820, 0.00927, 4.19022, 0.00455, 3.90520, 0.09843
3000, 0.48535, 0.00729, 0.52934, 0.01238, 0.70159, 0.00835, 1.20381, 0.00822, 6.51677, 0.01107, 6.06002, 0.11195
3500, 0.65947, 0.00339, 0.71719, 0.01047, 0.97634, 0.00753, 1.69027, 0.00963, 9.27602, 0.00368, 8.65310, 0.17143
4000, 0.84802, 0.02288, 0.91602, 0.01462, 1.23704, 0.00464, 2.18543, 0.02370, 12.17291, 0.00468, 11.31633, 0.18488
4500, 1.01897, 0.01286, 1.11524, 0.01314, 1.56297, 0.00861, 2.72870, 0.04075, 15.57650, 0.00148, 14.45484, 0.22978
5000, 1.22519, 0.01790, 1.35023, 0.02014, 1.89561, 0.00900, 3.36506, 0.02769, 19.35981, 0.01156, 18.04051, 0.26683
5500, 1.41555, 0.02479, 1.59993, 0.01119, 2.26131, 0.00989, 3.99542, 0.04581, 23.17208, 0.01605, 21.70018, 0.24800
6000, 1.64515, 0.02098, 1.85419, 0.03336, 2.61642, 0.01222, 4.69137, 0.02141, 27.13896, 0.01719, 25.63002, 0.20307
6500, 1.87818, 0.01945, 2.13248, 0.00252, 3.01586, 0.00936, 5.39890, 0.03268, 31.40043, 0.05646, 29.77273, 0.27715
7000, 2.11298, 0.01139, 2.39234, 0.01435, 3.38376, 0.00918, 6.07355, 0.05927, 35.82491, 0.05069, 33.86114, 0.35363
7500, 2.36236, 0.02251, 2.68022, 0.02470, 3.78398, 0.01050, 6.85803, 0.08951, 40.33561, 0.00916, 37.96414, 0.31820
8000, 2.57390, 0.02160, 2.95795, 0.02485, 4.15257, 0.01670, 7.57445, 0.09972, 44.79594, 0.01665, 42.25103, 0.43488
8500, 2.81876, 0.03275, 3.24685, 0.02170, 4.57175, 0.00921, 8.36999, 0.12202, 49.72643, 0.09814, 46.94987, 0.44202
9000, 3.05924, 0.02568, 3.52368, 0.01891, 4.96828, 0.01126, 9.02868, 0.10569, 54.11212, 0.00891, 50.79433, 0.57986
9500, 3.30166, 0.04745, 3.80696, 0.04137, 5.40718, 0.01191, 9.82357, 0.12078, 58.87829, 0.00678, 55.32813, 0.67615
10000, 3.52641, 0.05023, 4.10387, 0.03142, 5.78120, 0.01779, 10.62701, 0.15017, 63.38889, 0.02227, 59.48398, 0.86860
