tSim [ms], OMP nT 28, OMP nT 28, OMP nT 21, OMP nT 21, OMP nT 14, OMP nT 14, OMP nT 7, OMP nT 7, OMP nT 1, OMP nT 1, AoS, AoS
1500, 39.16400, 0.00000, 39.16400, 0.00000, 39.16400, 0.00000, 39.16400, 0.00000, 39.16400, 0.00000, 39.16400, 0.00000
2000, 84.47900, 0.00000, 86.01100, 0.00000, 84.47900, 0.00000, 85.51100, 0.00000, 85.51100, 0.00000, 85.51100, 0.00000
2500, 133.14900, 0.00000, 132.36700, 0.17400, 134.02500, 0.00000, 131.78400, 0.00000, 132.33800, 0.00000, 132.33800, 0.00000
3000, 182.46600, 0.00000, 180.51750, 2.77342, 181.37500, 0.00000, 181.27600, 0.00000, 180.87800, 0.00000, 180.87800, 0.00000
3500, 231.92500, 0.00000, 228.69100, 2.26559, 230.77300, 0.00000, 228.42600, 0.00000, 229.59400, 0.00000, 229.59400, 0.00000
4000, 278.06900, 0.00000, 272.57525, 4.11817, 273.33000, 0.00000, 273.61300, 0.00000, 274.06400, 0.00000, 274.06400, 0.00000
4500, 319.10100, 0.00000, 313.50050, 3.58856, 319.20100, 0.00000, 315.53240, 0.39891, 319.26500, 0.00000, 319.26500, 0.00000
5000, 362.48780, 2.02415, 354.00150, 2.87009, 361.77000, 0.00000, 357.59800, 0.00000, 362.90900, 0.00000, 362.90900, 0.00000
5500, 397.89500, 4.22050, 395.07850, 2.86108, 402.91000, 0.00000, 396.43400, 0.00000, 402.75600, 0.00000, 402.75600, 0.00000
6000, 439.10980, 0.28353, 432.17150, 4.23602, 441.58700, 0.00000, 434.29640, 1.16812, 440.51300, 0.00000, 440.51300, 0.00000
6500, 478.98700, 0.42677, 474.08325, 1.00663, 479.26600, 0.61492, 471.61200, 0.00000, 477.67000, 0.00000, 477.67000, 0.00000
7000, 514.36640, 1.08369, 506.59550, 4.29320, 513.60700, 0.00000, 506.58120, 0.26430, 513.55800, 0.00000, 513.55800, 0.00000
7500, 550.78640, 0.73664, 540.93900, 4.15230, 547.76800, 0.00000, 541.24880, 0.36940, 546.83400, 0.00000, 546.83400, 0.00000
8000, 577.96060, 3.15102, 571.05850, 3.25384, 576.60900, 0.00000, 572.62200, 0.00000, 577.68900, 0.00000, 577.68900, 0.00000
8500, 609.08960, 3.89977, 602.20975, 4.44409, 607.41900, 0.00000, 602.38900, 0.00000, 609.20100, 0.00000, 609.20100, 0.00000
9000, 639.25300, 2.52952, 630.29450, 4.10636, 635.16600, 0.00000, 629.18700, 0.55678, 636.08100, 0.00000, 636.08100, 0.00000
9500, 664.87380, 3.40107, 657.19275, 4.09437, 662.72600, 0.00000, 655.30320, 1.58716, 663.53200, 0.00000, 663.53200, 0.00000
10000, 692.13780, 1.66042, 685.72000, 3.37800, 687.35300, 0.00000, 680.94800, 0.00000, 688.32900, 0.00000, 688.32900, 0.00000
