NMAX, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1500, 0.18, 0.00, 53.175, 0.427
2000, 0.46, 0.00, 118.005, 1.209
2500, 0.79, 0.01, 184.262, 2.125
3000, 1.20, 0.01, 256.579, 1.381
3500, 1.69, 0.01, 320.602, 1.882
4000, 2.19, 0.02, 388.585, 4.451
4500, 2.73, 0.04, 447.495, 6.916
5000, 3.37, 0.03, 503.061, 4.029
5500, 4.00, 0.05, 556.575, 7.058
6000, 4.69, 0.02, 604.693, 2.913
6500, 5.40, 0.03, 658.862, 4.211
7000, 6.07, 0.06, 711.522, 5.790
7500, 6.86, 0.09, 762.044, 12.340
8000, 7.57, 0.10, 811.801, 13.740
8500, 8.37, 0.12, 850.869, 14.213
9000, 9.03, 0.11, 895.463, 9.754
9500, 9.82, 0.12, 928.779, 16.497
10000, 10.63, 0.15, 961.628, 15.668
