x, y, z
0.000000, 0.000000, 0.000000
0.000000, 0.000217, 0.000000
0.000000, 0.000434, 0.000000
0.000000, 0.000651, 0.000000
0.000000, 0.000868, 0.000000
0.000000, 0.001085, 0.000000
0.000000, 0.001303, 0.000000
0.000000, 0.001520, 0.000000
0.000000, 0.001737, 0.000000
0.000000, 0.001954, 0.000000
0.000000, 0.002171, 0.000000
0.000000, 0.002388, 0.000000
0.000000, 0.002605, 0.000000
0.000000, 0.002822, 0.000000
0.000000, 0.003039, 0.000000
0.000000, 0.003256, 0.000000
0.000000, 0.003474, 0.000000
0.000000, 0.003691, 0.000000
0.000000, 0.003908, 0.000000
0.000000, 0.004125, 0.000000
0.000000, 0.004342, 0.000000
0.000000, 0.004559, 0.000000
0.000000, 0.004776, 0.000000
0.000000, 0.004993, 0.000000
0.000000, 0.005210, 0.000000
0.000000, 0.005428, 0.000000
0.000000, 0.005645, 0.000000
0.000000, 0.005862, 0.000000
0.000000, 0.006079, 0.000000
0.000000, 0.006296, 0.000000
0.000000, 0.006513, 0.000000
0.000000, 0.006730, 0.000000
0.000000, 0.006947, 0.000000
0.000000, 0.007164, 0.000000
0.000000, 0.007381, 0.000000
0.000000, 0.007598, 0.000000
0.000000, 0.007816, 0.000000
0.000000, 0.008033, 0.000000
0.000000, 0.008250, 0.000000
0.000000, 0.008467, 0.000000
0.000000, 0.008684, 0.000000
0.000000, 0.008901, 0.000000
0.000000, 0.009118, 0.000000
0.000000, 0.009335, 0.000000
0.000000, 0.009552, 0.000000
0.000000, 0.009770, 0.000000
0.000000, 0.009987, 0.000000
0.000000, 0.010204, 0.000000
0.000000, 0.010421, 0.000000
0.000000, 0.010638, 0.000000
0.000000, 0.010855, 0.000000
0.000000, 0.011072, 0.000000
0.000000, 0.011289, 0.000000
0.000000, 0.011506, 0.000000
0.000000, 0.011723, 0.000000
0.000000, 0.011940, 0.000000
0.000000, 0.012158, 0.000000
0.000000, 0.012375, 0.000000
0.000000, 0.012592, 0.000000
0.000000, 0.012809, 0.000000
0.000000, 0.013026, 0.000000
0.000000, 0.013243, 0.000000
0.000000, 0.013460, 0.000000
0.000000, 0.013677, 0.000000
0.000000, 0.013894, 0.000000
0.000000, 0.014111, 0.000000
0.000000, 0.014329, 0.000000
0.000000, 0.014546, 0.000000
0.000000, 0.014763, 0.000000
0.000000, 0.014980, 0.000000
0.000000, 0.015197, 0.000000
0.000000, 0.015414, 0.000000
0.000000, 0.015631, 0.000000
0.000000, 0.015848, 0.000000
0.000000, 0.016065, 0.000000
0.000000, 0.016282, 0.000000
0.000000, 0.016500, 0.000000
0.000217, 0.000000, 0.000000
0.000217, 0.000217, 0.000000
0.000217, 0.000434, 0.000000
0.000217, 0.000651, 0.000000
0.000217, 0.000868, 0.000000
0.000217, 0.001085, 0.000000
0.000217, 0.001303, 0.000000
0.000217, 0.001520, 0.000000
0.000217, 0.001737, 0.000000
0.000217, 0.001954, 0.000000
0.000217, 0.002171, 0.000000
0.000217, 0.002388, 0.000000
0.000217, 0.002605, 0.000000
0.000217, 0.002822, 0.000000
0.000217, 0.003039, 0.000000
0.000217, 0.003256, 0.000000
0.000217, 0.003474, 0.000000
0.000217, 0.003691, 0.000000
0.000217, 0.003908, 0.000000
0.000217, 0.004125, 0.000000
0.000217, 0.004342, 0.000000
0.000217, 0.004559, 0.000000
0.000217, 0.004776, 0.000000
0.000217, 0.004993, 0.000000
0.000217, 0.005210, 0.000000
0.000217, 0.005428, 0.000000
0.000217, 0.005645, 0.000000
0.000217, 0.005862, 0.000000
0.000217, 0.006079, 0.000000
0.000217, 0.006296, 0.000000
0.000217, 0.006513, 0.000000
0.000217, 0.006730, 0.000000
0.000217, 0.006947, 0.000000
0.000217, 0.007164, 0.000000
0.000217, 0.007381, 0.000000
0.000217, 0.007598, 0.000000
0.000217, 0.007816, 0.000000
0.000217, 0.008033, 0.000000
0.000217, 0.008250, 0.000000
