x, y, z
0.001580, 0.000256, 0.002049
0.000623, 0.000360, 0.002094
0.002160, 0.001687, 0.000086
0.000051, 0.001714, 0.000352
0.000660, 0.001505, 0.001240
0.002138, 0.001246, 0.000875
0.001429, 0.001007, 0.001385
0.001503, 0.001646, 0.001042
0.000524, 0.000267, 0.000683
0.001365, 0.001830, 0.001804
0.000570, 0.000053, 0.001319
0.000866, 0.001454, 0.002039
0.002025, 0.001856, 0.001781
0.000164, 0.001006, 0.001046
0.001117, 0.001491, 0.002018
0.001922, 0.001164, 0.001538
0.000026, 0.000201, 0.001488
0.001435, 0.000233, 0.000155
0.000651, 0.001428, 0.001217
0.001171, 0.002097, 0.000812
0.000206, 0.001451, 0.001456
0.001735, 0.001951, 0.001254
0.000216, 0.001591, 0.001230
0.001582, 0.001498, 0.000401
0.001150, 0.000121, 0.000518
0.001026, 0.002091, 0.002116
0.002020, 0.000239, 0.001898
0.001199, 0.001758, 0.000573
0.001859, 0.000645, 0.002155
0.000285, 0.001476, 0.001525
0.001740, 0.001673, 0.000860
0.000044, 0.002003, 0.001465
0.001099, 0.000295, 0.000099
0.000291, 0.002007, 0.000011
0.001927, 0.000536, 0.000571
0.002162, 0.001552, 0.000636
0.001454, 0.001262, 0.000716
0.001445, 0.000700, 0.000419
0.001740, 0.001810, 0.001121
0.001134, 0.000252, 0.000534
0.000695, 0.001665, 0.000775
0.001896, 0.000105, 0.001820
0.002038, 0.001124, 0.001240
0.000206, 0.000973, 0.001588
0.002080, 0.001919, 0.000475
0.000469, 0.001261, 0.000487
0.000496, 0.000436, 0.001939
0.001986, 0.000199, 0.001884
0.001396, 0.001902, 0.000903
